timestamp,roll_commanded,roll_measured,pitch_commanded,pitch_measured,yaw_commanded,yaw_measured,airspeed_commanded,airspeed_measured,angular_velocity.x,angular_velocity.y,angular_velocity.z
2018-10-05 19:42:23.800,-15.9399995804,-10.1209888458,-3.26999998093,-0.92239689827,105.0,119.168876648,16.0,0.0,-0.328,0.078,0.051
2018-10-05 19:42:23.900,-15.7249994278,-10.1209888458,-3.344999909405,-0.92239689827,104.5,119.168876648,16.0,0.0,-0.28,0.023,0.025
2018-10-05 19:42:24.000,-15.164999485,-10.1209888458,-3.5499998331100002,-0.92239689827,103.5,119.168876648,16.0,0.0,-0.145,0.025,0.002
2018-10-05 19:42:24.100,-16.10999965665,-10.1209888458,-3.77499985695,-0.92239689827,101.5,119.168876648,16.0,0.0,-0.178,0.037,0.005
2018-10-05 19:42:24.200,-17.24499988555,-12.867286205300001,-3.929999947545,-1.51577746868,100.0,118.9533843995,16.0,0.0,-0.187,0.008,0.075
2018-10-05 19:42:24.300,-16.75,-15.6135835648,-4.01999998093,-2.10915803909,99.0,118.737892151,16.0,0.0,-0.162,-0.019,0.14
2018-10-05 19:42:24.400,-19.0900001526,-15.6135835648,-4.014999866485,-2.10915803909,95.0,118.737892151,16.0,0.0,-0.044,-0.022,0.174
2018-10-05 19:42:24.500,-21.4300003052,-15.6135835648,-3.96499991417,-2.10915803909,94.5,118.737892151,16.0,0.0,0.041,-0.032,0.232
2018-10-05 19:42:24.600,-24.5599994659,-17.4897174835,-3.76999998093,-2.86817264557,91.0,115.724975586,16.0,0.0,-0.02,-0.047,0.301
2018-10-05 19:42:24.700,-24.496665954633333,-17.4897174835,-3.619999965033333,-2.86817264557,90.33333333333333,115.72497558599999,16.0,0.0,-0.172,-0.09,0.304
2018-10-05 19:42:24.800,-27.25999927525,-17.4897174835,-3.45999991894,-2.86817264557,87.0,115.724975586,16.0,0.0,-0.318,-0.101,0.311
2018-10-05 19:42:24.900,-29.959999084499998,-19.3852157593,-3.26999986172,-3.50648212433,83.5,110.370758057,16.0,0.0,-0.448,-0.1,0.29
2018-10-05 19:42:25.000,-29.634999275200002,-19.3852157593,-3.079999923705,-3.50648212433,82.5,110.370758057,16.0,0.0,-0.484,-0.123,0.247
2018-10-05 19:42:25.100,-30.449999809250002,-19.3852157593,-2.89999997616,-3.50648212433,80.0,110.370758057,16.0,0.0,-0.415,-0.111,0.189
